city,year,month,lat,lon,records,avg_temp,avg_temp_max,avg_temp_min,avg_temp_range,avg_apparent_temp,avg_apparent_gap,avg_humidity,total_precipitation,avg_precipitation,rainy_days,heavy_rain_days,avg_wind,avg_wind_gust,windy_days,gusty_days,avg_sunshine_hour,sunny_days,low_sunshine_days,avg_shortwave,hot_days,extreme_hot_days,cold_days,freezing_days,avg_pm25,avg_pm10,avg_co,avg_no2,avg_so2,avg_ozone,avg_dust,good_air_days,polluted_days,dusty_days,ozone_high_days,climate_comfort_index,air_quality_score,tourism_comfort_index,pollution_index,summer_escape_index,winter_retirement_index
广州,2024,7,23.1291,113.2644,31,28.81935483870968,32.193548387096776,26.24516129032258,5.948387096774193,34.11612903225806,5.296774193548386,82.41935483870968,311.8,10.058064516129033,29,4,19.200000000000003,35.74516129032258,1,1,10.235470071684587,25,3,19.315483870967743,27,3,0,0,25.872043010752687,39.12943548387097,352.4986559139785,46.60362903225807,34.08212365591398,34.02553763440861,0.006720430107526881,27.0,0.0,0.0,0.0,65.39851882315142,92.46309520984872,73.5178917391606,7.536904790151282,36.03154726310004,
广州,2024,8,23.1291,113.2644,31,28.406451612903226,31.816129032258065,25.851612903225806,5.964516129032258,34.60645161290322,6.199999999999999,85.70967741935483,371.90000000000003,11.996774193548388,31,5,13.85483870967742,27.62258064516129,0,0,7.839924641577061,17,7,17.300322580645158,25,1,0,0,47.663844086021506,68.81962365591397,598.5577956989248,67.60819892473118,39.24973118279569,52.47715053763441,0.16129032258064516,8.0,2.0,0.0,0.0,66.02815092114068,87.6922940768032,72.52739386783942,12.307705923196808,34.3173001206584,
广州,2024,9,23.1291,113.2644,30,27.516666666666666,31.28666666666667,24.763333333333332,6.5233333333333325,32.63666666666667,5.120000000000001,84.1,275.8,9.193333333333333,30,2,16.58,32.223333333333336,1,2,8.695747314814815,23,4,17.353,24,0,0,0,44.55583333333333,64.35,600.5333333333333,55.45319444444444,36.015972222222224,58.93333333333333,0.0,10.0,3.0,0.0,1.0,69.38156375744316,88.40069760947985,75.08730391305417,11.59930239052015,,
广州,2024,10,23.1291,113.2644,31,24.887096774193548,28.929032258064513,21.432258064516127,7.496774193548387,25.496774193548386,0.6096774193548383,63.70967741935484,13.5,0.43548387096774194,12,0,20.774193548387096,36.193548387096776,2,2,9.906147759856632,28,1,17.106451612903225,12,0,0,0,36.7252688172043,53.90067204301075,578.9045698924732,41.81344086021505,26.09784946236559,58.63306451612903,0.0846774193548387,16.0,3.0,0.0,0.0,83.39710838759362,90.18239679952838,85.43269491117405,9.817603200471623,,
广州,2024,11,23.1291,113.2644,30,21.206666666666667,25.12,18.040000000000003,7.079999999999999,20.84,-0.3666666666666668,64.46666666666667,48.8,1.6266666666666665,11,0,16.953333333333333,34.80333333333333,0,0,7.848988518518519,21,5,12.704,2,0,0,0,33.54805555555556,39.27777777777778,716.4152777777778,35.12611111111111,25.79513888888889,44.97083333333333,0.12638888888888888,20.0,0.0,0.0,0.0,83.09914216931962,91.55213826906923,85.6350409992445,8.447861730930773,,
广州,2024,12,23.1291,113.2644,31,15.674193548387096,20.606451612903225,11.429032258064517,9.17741935483871,13.212903225806452,-2.4612903225806453,51.193548387096776,0.5,0.016129032258064516,1,0,14.196774193548388,33.34193548387096,0,0,8.87865322580645,26,2,13.213548387096774,0,0,0,0,67.24274193548388,67.81129032258065,978.8091397849462,42.07311827956989,50.59583333333333,60.06989247311828,0.23790322580645162,5.0,9.0,0.0,0.0,76.05695091659221,86.16556765846684,79.0895359391546,13.83443234153316,,84.23755775819733
广州,2025,1,23.1291,113.2644,31,15.990322580645161,21.348387096774193,11.180645161290323,10.167741935483871,13.348387096774195,-2.641935483870968,45.0,3.5,0.11290322580645161,3,0,12.809677419354838,30.80322580645161,0,1,9.630204390681003,28,1,14.841935483870968,0,0,0,0,61.64408602150538,62.34206989247312,813.9932795698925,51.08360215053764,44.6388440860215,59.37365591397849,0.5470430107526881,5.0,10.0,0.0,0.0,76.16082505461688,86.61364892176474,79.29667221476123,13.386351078235268,,84.92910387622996
广州,2025,2,23.1291,113.2644,28,16.16785714285714,20.660714285714285,12.314285714285715,8.346428571428572,14.946428571428571,-1.2214285714285715,65.32142857142857,25.099999999999998,0.8964285714285714,14,0,13.6,31.564285714285713,0,0,6.1600190476190475,9,6,12.233571428571429,0,0,0,0,51.807589285714286,52.74538690476191,753.4613095238095,41.96369047619048,36.949107142857144,48.485119047619044,1.2232142857142858,6.0,4.0,0.0,0.0,78.7927925342389,88.867773559077,81.81528684169032,11.132226440923016,,84.09106527454354
广州,2025,3,23.1291,113.2644,31,18.63225806451613,23.309677419354838,14.374193548387098,8.935483870967742,18.62258064516129,-0.00967741935483879,72.19354838709677,79.8,2.574193548387097,16,0,14.5,34.61290322580645,0,1,7.243439964157706,18,7,14.915806451612903,4,0,0,0,47.32647849462366,49.59314516129032,717.1438172043011,49.81061827956989,37.22889784946236,50.86693548387097,3.1384408602150535,11.0,5.0,3.0,1.0,78.62626481078838,88.85622945273316,81.69525420337182,11.143770547266847,,
广州,2025,4,23.1291,113.2644,30,23.273333333333333,28.40666666666667,19.15,9.256666666666666,25.35,2.0766666666666667,73.76666666666667,155.0,5.166666666666667,21,1,13.15,32.27333333333333,0,2,7.997411018518518,16,4,17.228333333333335,13,0,0,0,59.49777777777778,66.36902777777777,736.6472222222222,58.367916666666666,39.068888888888885,54.0375,10.945833333333333,7.0,9.0,9.0,1.0,80.85089388895358,86.81435433892321,82.63993202394447,13.185645661076801,,
广州,2025,5,23.1291,113.2644,31,25.293548387096774,29.038709677419355,22.54516129032258,6.493548387096775,29.348387096774193,4.054838709677419,83.09677419354838,326.8,10.541935483870969,28,2,12.064516129032258,31.516129032258064,0,1,6.623212903225807,12,8,15.525806451612903,10,0,0,0,42.96209677419355,44.932258064516134,689.0174731182796,53.87123655913979,36.575,53.07392473118279,2.3373655913978495,11.0,0.0,2.0,1.0,75.93569438009594,89.06460069283817,79.87436627391861,10.935399307161832,,
广州,2025,6,23.1291,113.2644,30,27.5,31.033333333333335,24.9,6.133333333333335,32.79666666666667,5.296666666666667,84.86666666666666,474.2,15.806666666666667,30,6,13.67,35.2,0,2,8.250957037037036,20,5,17.549333333333333,19,0,0,0,33.57222222222222,34.58638888888889,523.3541666666666,48.93458333333333,38.14069444444444,45.98055555555555,0.07222222222222222,17.0,0.0,0.0,0.0,68.65631512508725,90.83720116953484,75.31058093842151,9.162798830465166,39.43749947295604,
广州,2025,7,23.1291,113.2644,31,28.603225806451615,32.63548387096775,25.9,6.735483870967742,34.809677419354834,6.206451612903226,83.83870967741936,336.5,10.85483870967742,31,3,12.225806451612904,32.270967741935486,1,2,9.064181899641577,17,2,18.818064516129034,29,3,0,0,49.77352150537634,50.42258064516129,849.2674731182796,53.60645161290322,36.7614247311828,75.33467741935483,0.3951612903225806,6.0,1.0,0.0,4.0,66.67450117014106,87.10696687055197,72.80424088026433,12.893033129448021,33.71432915167459,
广州,2025,8,23.1291,113.2644,31,27.748387096774195,31.687096774193545,24.98709677419355,6.699999999999999,33.3,5.551612903225807,83.93548387096774,367.6,11.858064516129033,29,5,12.874193548387096,33.667741935483875,0,0,8.061052688172044,21,8,17.113548387096774,24,1,0,0,45.17110215053763,46.33373655913979,677.5147849462365,59.056989247311826,39.979301075268815,47.071236559139784,0.47715053763440857,7.0,1.0,0.0,0.0,67.92435664094326,88.82113636556,74.19339055832828,11.17886363444001,37.33963682553624,
广州,2025,9,23.1291,113.2644,30,28.303333333333335,32.54333333333333,25.2,7.343333333333333,33.196666666666665,4.8933333333333335,78.4,281.0,9.366666666666667,26,3,13.756666666666666,34.26,1,4,8.702455092592594,22,4,17.21466666666667,25,6,0,0,44.999861111111116,45.654444444444444,643.5236111111111,56.12708333333333,44.06777777777778,44.46805555555555,0.0,9.0,1.0,0.0,0.0,69.77540036930147,89.0857021929884,75.56849091640755,10.91429780701161,,
广州,2025,10,23.1291,113.2644,31,26.32903225806452,30.51290322580645,23.04516129032258,7.467741935483871,29.080645161290324,2.7516129032258063,68.64516129032258,48.0,1.5483870967741935,21,0,13.170967741935485,32.75483870967742,0,3,8.10922652329749,19,4,14.853870967741935,18,3,0,0,51.62526881720431,51.993951612903224,621.7311827956989,51.28239247311828,41.548924731182794,52.43817204301075,0.0,11.0,6.0,0.0,0.0,77.41260637426002,88.28117454447688,80.67317682532506,11.718825455523115,,
广州,2025,11,23.1291,113.2644,30,19.543333333333333,23.8,16.35,7.45,18.970000000000002,-0.5733333333333335,63.13333333333333,12.4,0.41333333333333333,9,0,14.223333333333333,32.64666666666667,0,0,7.094847962962962,18,6,12.097333333333333,0,0,0,0,39.163333333333334,39.72388888888889,767.1694444444444,39.24625,33.42444444444445,50.02777777777778,0.5736111111111111,17.0,3.0,0.0,0.0,82.78827300713849,90.36760438088011,85.06207241926099,9.632395619119881,,
广州,2025,12,23.1291,113.2644,31,17.787096774193547,22.067741935483873,14.248387096774193,7.819354838709677,17.62258064516129,-0.16451612903225812,71.29032258064517,21.9,0.7064516129032258,7,0,11.067741935483872,26.338709677419356,0,1,7.862403853046596,20,3,11.899354838709677,0,0,0,0,81.13212365591397,81.73212365591398,1425.9368279569892,57.381182795698926,56.22204301075269,46.178763440860216,0.2325268817204301,2.0,20.0,0.0,0.0,82.26849972975863,84.02849963019868,82.79649969989063,15.971500369801332,,84.54780615211291
成都,2016,1,30.5728,104.0668,31,6.419354838709677,9.780645161290321,3.303225806451613,6.47741935483871,3.6322580645161286,-2.7870967741935484,74.90322580645162,16.8,0.5419354838709678,14,0,11.748387096774193,22.33225806451613,0,0,5.567627508960574,14,11,7.814193548387097,0,0,7,0,,,,,,,,0.0,0.0,0.0,0.0,56.85089955043167,,,,,70.03726530435145
成都,2016,2,30.5728,104.0668,29,8.572413793103449,13.331034482758621,4.189655172413793,9.141379310344828,5.955172413793103,-2.617241379310345,66.41379310344827,14.3,0.4931034482758621,9,0,11.055172413793104,22.117241379310343,0,0,8.360758812260537,19,2,12.858275862068965,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,63.129136620102074,,,,,77.92339617004811
成都,2016,3,30.5728,104.0668,31,14.425806451612903,18.74516129032258,10.403225806451612,8.341935483870968,12.951612903225806,-1.474193548387097,68.83870967741936,36.699999999999996,1.1838709677419355,12,0,13.074193548387097,25.82903225806452,0,0,6.5342940860215055,13,7,11.578064516129032,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,74.73775388368959,,,,,
成都,2016,4,30.5728,104.0668,30,19.053333333333335,23.66,14.756666666666666,8.903333333333334,19.256666666666668,0.2033333333333335,71.16666666666667,72.7,2.4233333333333333,20,0,11.56,23.95,0,0,7.8484694444444445,13,2,14.942666666666666,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,85.27811446312998,,,,,
