city,year,lat,lon,records,avg_temp,avg_temp_max,avg_temp_min,avg_temp_range,avg_apparent_temp,avg_apparent_gap,avg_humidity,total_precipitation,avg_precipitation,rainy_days,heavy_rain_days,avg_wind,avg_wind_gust,windy_days,gusty_days,avg_sunshine_hour,sunny_days,low_sunshine_days,avg_shortwave,hot_days,extreme_hot_days,cold_days,freezing_days,avg_pm25,avg_pm10,avg_co,avg_no2,avg_so2,avg_ozone,avg_dust,good_air_days,polluted_days,dusty_days,ozone_high_days,climate_comfort_index,air_quality_score,tourism_comfort_index,pollution_index,summer_escape_index,winter_retirement_index,city_type
上海,2016,31.2304,121.4737,366,17.10327868852459,20.48606557377049,14.148907103825136,6.337158469945355,17.208196721311474,0.1049180327868852,79.35519125683061,1645.7,4.496448087431694,195,22,18.361475409836068,35.18551912568306,11,33,7.089678506375228,200,98,13.45762295081967,63,5,24,4,,,,,,,,0.0,0.0,0.0,0.0,68.32368073217725,,,,42.6881881288763,69.24103322682453,湿润宜居综合型
上海,2017,31.2304,121.4737,365,16.991780821917807,20.956438356164384,13.492328767123286,7.464109589041096,16.893150684931506,-0.0986301369863014,76.24657534246575,1053.5,2.8863013698630136,195,4,18.28027397260274,31.706301369863013,15,10,7.507134634703196,212,83,14.148794520547948,65,14,19,0,,,,,,,,0.0,0.0,0.0,0.0,68.50366131298378,,,,42.47830412381291,70.56361519415331,湿润宜居综合型
上海,2018,31.2304,121.4737,365,16.93123287671233,20.93917808219178,13.417808219178085,7.521369863013699,16.915342465753426,-0.0158904109589041,78.88493150684931,1274.1,3.490684931506849,215,9,18.989315068493152,32.33315068493151,11,11,7.414968280060882,206,92,13.90035616438356,74,3,33,4,,,,,,,,0.0,0.0,0.0,0.0,68.31887652652685,,,,43.59081442344148,65.42463169988353,湿润宜居综合型
上海,2019,31.2304,121.4737,365,16.714246575342464,20.741917808219178,13.155616438356164,7.586301369863014,16.63068493150685,-0.0835616438356165,79.24931506849315,1536.2,4.208767123287672,202,13,18.15150684931507,31.153972602739728,17,15,7.330725585996956,203,84,13.785260273972602,46,0,13,0,,,,,,,,0.0,0.0,0.0,0.0,69.57745277679987,,,,47.36921873852298,69.15528728950416,湿润宜居综合型
上海,2020,31.2304,121.4737,366,17.07896174863388,21.011475409836063,13.567486338797814,7.443989071038251,17.057650273224045,-0.0213114754098358,78.47540983606558,1544.3,4.219398907103825,200,12,18.383333333333333,32.074590163934424,15,18,7.275021273527625,205,85,13.767704918032786,64,7,15,2,,,,,,,,0.0,0.0,0.0,0.0,69.39414755021802,,,,42.771780305004285,69.59667335262934,湿润宜居综合型
上海,2021,31.2304,121.4737,365,17.14054794520548,21.335342465753424,13.59123287671233,7.744109589041096,17.2786301369863,0.1380821917808219,78.94794520547946,1592.2,4.3621917808219175,186,15,18.74739726027397,32.09479452054794,17,13,7.671826544901065,219,71,14.32854794520548,64,1,26,7,,,,,,,,0.0,0.0,0.0,0.0,68.65817611322659,,,,44.41381259544448,69.47570086660613,湿润宜居综合型
上海,2022,31.2304,121.4737,365,17.242191780821916,21.49835616438356,13.577534246575343,7.920821917808219,17.115616438356163,-0.1265753424657534,76.05753424657534,1260.2,3.452602739726028,198,9,19.0813698630137,31.82109589041096,13,10,7.411948447488585,214,90,14.427068493150683,78,34,31,1,,,,,,,,0.0,0.0,0.0,0.0,68.353716826837,,,,39.67591183938765,66.50171356041568,湿润宜居综合型
上海,2023,31.2304,121.4737,365,17.186849315068493,21.62109589041096,13.414794520547945,8.206301369863015,17.223013698630137,0.0361643835616437,76.9013698630137,1326.4,3.633972602739726,207,9,18.398082191780823,30.933972602739725,17,10,7.544509345509893,218,77,14.423506849315068,82,7,29,7,47.78180365296804,72.7198401826484,1045.5012557077623,68.1075799086758,69.01658675799086,28.36312785388128,2.095205479452055,165.0,63.0,18.0,1.0,69.22583432356471,87.85517098493712,74.81463532197643,12.144829015062884,41.35742594601119,72.28242387283443,湿润宜居综合型
上海,2024,31.2304,121.4737,366,17.571311475409836,21.76584699453552,14.018306010928962,7.747540983606557,17.74808743169399,0.1767759562841529,77.44535519125684,1564.1,4.273497267759563,195,19,18.42103825136612,32.0620218579235,14,11,7.278433538251367,200,86,14.198142076502734,87,35,21,3,48.47584244080146,69.55991575591985,1115.139344262295,57.58071493624772,46.26464025500911,34.49214480874317,2.276753187613844,158.0,56.0,22.0,4.0,68.15833303755493,88.37564209952316,74.22352575614539,11.624357900476848,40.37944407295676,73.26563005659023,湿润宜居综合型
上海,2025,31.2304,121.4737,365,18.774794520547943,23.10054794520548,15.139178082191782,7.961369863013699,19.327397260273973,0.5526027397260275,69.20821917808219,1114.7,3.053972602739726,178,9,13.616712328767123,34.60739726027398,1,27,8.293215136986301,245,58,15.48035616438356,118,33,14,0,53.16945205479452,57.78686073059361,1487.1357305936071,60.1421803652968,45.37448630136986,41.65422374429224,5.296461187214612,133.0,82.0,54.0,9.0,70.29186472351225,87.24082321723576,75.3765522716293,12.759176782764248,39.24347742844263,77.13731134721486,湿润宜居综合型
丽江,2016,26.855,100.2278,366,13.03879781420765,18.508743169398908,8.315300546448087,10.19344262295082,12.152459016393443,-0.8863387978142078,74.03005464480874,1566.7,4.280601092896175,231,6,9.143715846994535,37.82650273224044,0,69,9.43583846387371,296,28,16.68193989071038,0,0,30,0,,,,,,,,0.0,0.0,0.0,0.0,70.23399044327877,,,,69.5705338162179,73.68079435720982,高原避暑型
