city,lat,lon,records,avg_temp,avg_temp_max,avg_temp_min,avg_temp_range,avg_apparent_temp,avg_apparent_gap,avg_humidity,total_precipitation,avg_precipitation,rainy_days,heavy_rain_days,avg_wind,avg_wind_gust,windy_days,gusty_days,avg_sunshine_hour,sunny_days,low_sunshine_days,avg_shortwave,hot_days,extreme_hot_days,cold_days,freezing_days,avg_pm25,avg_pm10,avg_co,avg_no2,avg_so2,avg_ozone,avg_dust,good_air_days,polluted_days,dusty_days,ozone_high_days,climate_comfort_index,air_quality_score,tourism_comfort_index,pollution_index,summer_escape_index,winter_retirement_index,city_type,type_color,air_quality_display_score,climate_comfort_display_score,summer_escape_display_score,winter_retirement_display_score,sunshine_display_score,extreme_weather_penalty,tourism_suitability_score_ds01
成都,30.5728,104.0668,3653,17.667533534081578,21.763482069531893,14.027128387626608,7.736353681905284,18.0583082398029,0.3907747057213249,74.09143169997263,11498.0,3.1475499589378595,2369,84,12.345743224746784,24.621516561730083,33,72,6.257434781153998,1450,974,12.10141801259239,694,103,60,0,61.48474756690998,80.99915222019465,989.4752889294404,48.03379333941606,64.9887963807786,55.41499391727493,10.08261100973236,115.0,260.0,254.0,116.0,73.2849700687161,86.21789227547413,77.14123274313157,13.782107724525863,45.98611766714998,73.8869209147244,湿润宜居综合型,#fc8d62,18.35994530137354,87.41458090902022,26.94075597304676,69.5822524044774,8.808802252496328,28.296065987222345,37.11330275711805
昆明,25.0389,102.7183,3653,15.330030112236518,20.714453873528605,10.75661100465371,9.957842868874897,14.193375307966056,-1.1366548042704625,72.52860662469203,15015.7,4.110511908020805,2536,87,17.149603065973174,40.27733369833014,93,778,9.041271205554034,2674,329,17.29977278948809,48,0,60,2,20.046551855231144,25.70812804136253,434.0850440997567,23.35535659975669,14.588990267639902,71.50809762773723,1.669403892944039,1019.0,0.0,36.0,161.0,73.10900499370098,92.7845050224753,79.82368721677848,7.215494977524696,68.05879747104615,76.96102858240232,高原避暑型,#66c2a5,80.16199067203516,85.85651174809419,88.59913202223228,76.59603447765299,76.17836745267765,6.278769351152619,87.43684504978245
杭州,30.2741,120.1551,3653,17.78182315904736,22.212263892690935,13.876019709827538,8.3362441828634,18.42233780454421,0.640514645496852,76.15904735833561,15966.2,4.370709006296195,2081,139,14.577771694497672,29.80383246646592,25,122,7.149271950755847,1994,932,13.676753353408158,874,243,242,27,52.715967153284666,68.58360325425791,838.4814857055961,47.00567974452554,40.746806569343065,47.248707420924575,3.475821167883212,330.0,194.0,103.0,82.0,69.37837280913925,88.24005493214618,75.19793473637324,11.759945067853817,39.95804318078107,70.61817159851984,湿润宜居综合型,#fc8d62,37.391642931415234,52.82391731409081,10.101781873153913,62.12438240312564,30.391493612814223,33.87362141152211,22.802576941059847
桂林,25.2736,110.29,3653,19.69093895428415,23.76712291267452,16.3403777716945,7.426745140980016,20.677935943060497,0.9869969887763482,75.58089241719135,27971.6,7.657158499863126,2526,317,15.59939775526964,33.01647960580345,16,175,7.097217607293853,1941,944,13.78808376676704,1027,60,25,0,22.70339111922141,29.43725288929441,401.4074285279805,10.149376520681264,9.442255930656934,69.97836830900243,1.535926094890511,930.0,4.0,33.0,30.0,71.7515590011291,93.33970974837808,78.81553561730028,6.660290251621927,40.1044997110425,75.76413711054072,湿润宜居综合型,#fc8d62,85.38733119115128,73.83711108880408,10.510897209304638,73.86524660150134,29.13176496817188,24.424680011225604,50.685299131146266
海口,20.044,110.1999,3653,24.98146728716124,27.763920065699427,22.7321105940323,5.031809471667123,27.785245004106216,2.803777716944977,81.38105666575417,16165.0,4.4251300301122365,2647,115,21.714453873528605,39.58111141527511,297,469,8.96881280910667,2660,438,16.814358061866958,1410,117,0,0,20.363020833333334,28.787697688564474,309.13640510948903,9.69823600973236,7.500771745742092,83.54064020681265,0.4751748783454987,1007.0,2.0,6.0,233.0,73.06259588551725,93.05742478952142,79.03473327902745,6.942575210478588,36.34177218854701,82.42899101079529,滨海暖冬度假型,#8da0cb,82.7305904167418,85.44558588544263,0.0,89.071556158398,74.42485542123227,14.163106738776918,64.43701452118309
深圳,22.5431,114.0579,3653,22.767752532165343,26.449466192170817,19.943224746783468,6.506241445387353,25.01598686011497,2.24823432794963,78.98959759102108,19479.1,5.33235696687654,2462,190,16.290719956200384,33.569066520667945,35,125,8.48203435380357,2491,515,15.629375855461264,1032,13,0,0,31.15230383211679,41.32330444038929,498.3929820559611,57.607341088807786,63.3162104622871,39.97513686131387,0.7034291362530414,752.0,31.0,13.0,6.0,74.70634100010972,90.44285267439112,79.75589301612486,9.557147325608891,38.7122317527073,82.73782849349146,滨海暖冬度假型,#8da0cb,58.12339783363384,100.0,6.621701058273135,89.77618951344743,62.64469025234906,14.289764041433006,64.02860156637847
苏州,31.2989,120.5853,3653,17.238926909389544,21.475773336983305,13.520202573227484,7.9555707637558175,17.327402135231317,0.0884752258417738,75.2748425951273,13582.4,3.7181494661921706,1897,120,16.562003832466466,33.23128935121817,69,193,7.477592147245795,2136,822,14.256496030659733,767,140,278,29,45.15769464720195,60.99217609489051,854.4280717761557,52.99096335158151,46.67958105231144,46.92864203163017,4.276421836982968,454.0,117.0,143.0,119.0,69.20364295570404,88.66564902883533,75.12007924165147,11.334350971164673,41.90969728740416,70.07324820580902,湿润宜居综合型,#fc8d62,41.39714572051766,51.2767853272058,15.553581287326654,60.881103267773774,38.33692772312939,24.450763201934734,27.047139449797147
西安,34.3416,108.9398,3653,15.410758280865045,20.906433068710648,10.535422940049274,10.371010128661377,14.32556802627977,-1.0851902545852723,61.1522036682179,6756.8,1.8496578154941143,1288,43,13.869696140158773,29.03421845058856,26,101,7.927377964838642,2349,637,14.344960306597317,923,345,766,131,53.112557025547446,75.45658074817518,923.0591925182482,46.28171380778589,37.95452402676399,55.067594282238446,19.4046152676399,229.0,177.0,419.0,140.0,69.53069574164596,87.70818956368848,74.90098055687196,12.291810436311524,47.84729347643548,63.80424947339077,湿润宜居综合型,#fc8d62,32.385962088195456,54.17264895086652,32.13981104756092,46.577963729590735,49.22186144223925,42.28600263493995,25.341026990386517
重庆,29.563,106.5516,3653,18.891705447577333,22.53602518477964,15.690993703805091,6.845031480974542,20.22606077196825,1.3343553243909116,78.5595401040241,14028.0,3.84013139885026,2378,112,10.33235696687654,22.486641116890222,0,6,5.893438598412264,1476,1299,11.945039693402684,826,260,11,0,59.58043263381995,75.68510872871046,865.1012773722628,48.27219054136253,45.097992700729925,51.96730535279805,5.026079683698296,251.0,280.0,117.0,103.0,71.80973324631493,87.08852440551856,76.25230348809288,12.911475594481454,41.00864297299515,74.1389840415815,湿润宜居综合型,#fc8d62,26.553948583618848,74.35221044801733,13.036553619994438,70.15735127269443,0.0,36.689891786331444,27.408523489373476
青岛,36.0671,120.3826,3653,14.028633999452504,17.100629619490828,11.035724062414454,6.064905557076375,12.646975088967972,-1.3816589104845332,72.12537640295648,7741.9,2.119326580892417,1180,77,22.268217903093348,39.82852450041062,537,673,8.720868396599446,2627,394,15.373074185600876,162,1,666,90,34.72059762773723,50.5221525243309,461.1950273722628,29.124935371046227,21.874186435523114,70.63606295620438,6.619981751824818,645.0,47.0,210.0,220.0,66.91958579452486,90.64427599960588,74.31806895661985,9.355724000394126,53.2708915346059,64.3026625403279,湿润宜居综合型,#fc8d62,60.019104792951204,31.052777669325028,47.29022556819722,47.7151264486053,68.42453617904619,13.294850324574895,35.04809389352946
