,avg_temp,avg_temp_max,avg_temp_min,avg_temp_range,avg_apparent_temp,avg_apparent_gap,avg_humidity,total_precipitation,avg_precipitation,rainy_days,heavy_rain_days,avg_wind,avg_wind_gust,avg_sunshine_hour,avg_shortwave,hot_days,extreme_hot_days,cold_days,freezing_days,climate_comfort_index
heavy_rain_days,0.54736169004391,0.5752181746830037,0.532735958164643,-0.29929911315187124,0.5580238602001777,0.5762574034135046,0.5530989149547179,0.9637422486887046,0.963742248688705,0.6523827119478393,1.0,-0.1392264308797825,0.015524716548862557,-0.2751525461415942,-0.018916660989205813,0.3871927812670325,-0.18765927053807652,-0.583646306592844,-0.550599507617532,0.47454295292676574
avg_wind,0.1377760323685841,0.051498520833545995,0.1830144146569394,-0.4411140693087653,0.12083307494117236,0.07109974431226283,0.016597032681518267,-0.15772149957230794,-0.157721499572308,-0.20728274231445115,-0.1392264308797825,1.0,0.6773109454385158,0.45437232651162,0.35932913695832314,0.2144897484620235,-0.2917031072517797,0.13393208659169498,0.2097815158073635,-0.11113110752669138
avg_wind_gust,0.10810079034393474,0.10677225653614211,0.11916667410476549,-0.11764894787235816,0.09140669931591917,0.042973577129459,0.1185331473228286,0.06418682150429816,0.06418682150429827,0.09868013885021999,0.015524716548862557,0.6773109454385158,1.0,0.83675401519792,0.8747751174965254,-0.17730995058094043,-0.6369071130956303,-0.045080774790304375,-0.036920588468410225,0.10885182556282488
avg_sunshine_hour,-0.16309217304134244,-0.13690893320299427,-0.16827530848624775,0.19823242279294254,-0.17889291316238123,-0.21926605979347685,-0.2702729682683636,-0.24993827349451828,-0.2499382734945181,-0.16368327391607068,-0.2751525461415942,0.45437232651162,0.83675401519792,1.0,0.8903350248460681,-0.2975697467634051,-0.5560372252638928,0.2923364166706103,0.2827471754249796,-0.10609132976406001
avg_shortwave,0.1881653412586293,0.22782079774691655,0.17353007987681118,-0.0038299830135137946,0.1706018731330342,0.11811292679560105,0.09712207557354763,0.06437686588061485,0.064376865880615,0.20536594248089216,-0.018916660989205813,0.35932913695832314,0.8747751174965254,0.8903350248460681,1.0,-0.15414495129997507,-0.5450803726733254,-0.13932172793231207,-0.14878635492457878,0.2528469809265633
hot_days,0.7707128582519762,0.7400543674453365,0.7676949715438297,-0.6370416001410767,0.7703840461975343,0.7535950514353202,0.33650713586114334,0.37648087115020973,0.3764808711502096,0.29832867960163306,0.3871927812670325,0.2144897484620235,-0.17730995058094043,-0.2975697467634051,-0.15414495129997507,1.0,0.40698540965794927,-0.4147458105496927,-0.2898082322444065,0.4289539327674713
extreme_hot_days,0.06728674614204516,0.08830397043511007,0.04102236989365719,0.07885167327132535,0.05869153503012141,0.033515393751689986,-0.18145765850972098,-0.21542854176455695,-0.21542854176455709,-0.25099556342361135,-0.18765927053807652,-0.2917031072517797,-0.6369071130956303,-0.5560372252638928,-0.5450803726733254,0.40698540965794927,1.0,0.023818189316072855,-0.07486710024781287,-0.09212108722777977
cold_days,-0.8564652780846225,-0.8694908443678051,-0.8467147647953921,0.5792942588194409,-0.8546438895444767,-0.8319569917776758,-0.8440872881996535,-0.6980683652680494,-0.6980683652680493,-0.8157277956970067,-0.583646306592844,0.13393208659169498,-0.045080774790304375,0.2923364166706103,-0.13932172793231207,-0.4147458105496927,0.023818189316072855,1.0,0.9086967122184532,-0.908654052906127
freezing_days,-0.7487573496362268,-0.7833891019224106,-0.7270637628932312,0.41230324272083363,-0.7397907732934841,-0.699546506386527,-0.7375960158341966,-0.6209027993888189,-0.6209027993888188,-0.6527960717949248,-0.550599507617532,0.2097815158073635,-0.036920588468410225,0.2827471754249796,-0.14878635492457878,-0.2898082322444065,-0.07486710024781287,0.9086967122184532,1.0,-0.7539307544832595
climate_comfort_index,0.827946903978154,0.8599197280617827,0.8091362379675633,-0.4863973103760479,0.8203823258428341,0.7823869787417705,0.673898078812986,0.5997336208951777,0.5997336208951777,0.7769188307299147,0.47454295292676574,-0.11113110752669138,0.10885182556282488,-0.10609132976406001,0.2528469809265633,0.4289539327674713,-0.09212108722777977,-0.908654052906127,-0.7539307544832595,1.0
