city,year,season,lat,lon,records,avg_temp,avg_temp_max,avg_temp_min,avg_temp_range,avg_apparent_temp,avg_apparent_gap,avg_humidity,total_precipitation,avg_precipitation,rainy_days,heavy_rain_days,avg_wind,avg_wind_gust,windy_days,gusty_days,avg_sunshine_hour,sunny_days,low_sunshine_days,avg_shortwave,hot_days,extreme_hot_days,cold_days,freezing_days,avg_pm25,avg_pm10,avg_co,avg_no2,avg_so2,avg_ozone,avg_dust,good_air_days,polluted_days,dusty_days,ozone_high_days,climate_comfort_index,air_quality_score,tourism_comfort_index,pollution_index,summer_escape_index,winter_retirement_index,city_type
北京,2023,秋季,39.9042,116.4074,91,13.268131868131867,18.963736263736266,8.502197802197802,10.461538461538462,11.545054945054943,-1.723076923076923,60.79120879120879,92.7,1.0186813186813186,11,1,16.173626373626373,28.068131868131868,5,5,8.505841483516484,70,6,11.814505494505491,4,0,19,8,81.98328754578755,120.56849816849817,1165.321428571429,54.211630036630034,63.68818681318681,17.719322344322343,6.132326007326007,12.0,48.0,18.0,0.0,70.96314713892139,85.12797788704218,75.21259636335762,14.87202211295782,,,北方大陆四季型
北京,2023,春季,39.9042,116.4074,92,14.914130434782608,21.675,8.11413043478261,13.56086956521739,11.536956521739132,-3.377173913043478,42.380434782608695,63.9,0.6945652173913043,23,0,21.957608695652173,37.725,8,11,8.8594836352657,70,12,16.55217391304348,5,0,13,0,51.689130434782605,78.4059329710145,858.7721920289856,63.98786231884058,53.88002717391304,40.37001811594202,12.791666666666666,30.0,13.0,40.0,0.0,69.69096112753834,87.43949009107965,75.01551981660073,12.560509908920356,,,北方大陆四季型
北京,2023,夏季,39.9042,116.4074,92,27.492391304347827,33.07608695652174,22.15217391304348,10.923913043478262,29.066304347826087,1.5739130434782609,59.56521739130435,459.3,4.992391304347826,39,6,19.117391304347827,33.7,1,7,9.755919625603864,73,11,18.83913043478261,69,31,0,0,56.256974637681154,83.54660326086957,610.4316123188406,60.534375,40.9018115942029,65.20516304347827,7.128170289855072,22.0,19.0,19.0,8.0,73.98679646497285,86.35739603846407,77.69797633702022,13.642603961535928,48.09613390944276,,北方大陆四季型
北京,2023,冬季,39.9042,116.4074,90,-2.258888888888889,3.1777777777777776,-6.465555555555556,9.643333333333333,-7.036666666666666,-4.777777777777778,45.422222222222224,24.7,0.2744444444444444,11,0,16.566666666666666,28.104444444444447,7,5,7.57132487654321,67,11,8.422888888888888,0,0,89,55,101.39486111111113,146.87537037037038,2510.0958333333333,79.56699074074074,102.01083333333334,14.73425925925926,4.437962962962963,9.0,56.0,12.0,0.0,50.54104340549762,79.85661894992992,59.3357160688273,20.14338105007008,,57.93283158655615,北方大陆四季型
北京,2024,秋季,39.9042,116.4074,91,13.73846153846154,18.67472527472528,9.348351648351647,9.326373626373629,12.26153846153846,-1.476923076923077,66.86813186813187,90.2,0.9912087912087912,25,0,14.387912087912088,26.045054945054943,3,4,7.573480036630037,55,13,10.923736263736265,1,0,4,0,90.49111721611725,124.05013736263736,1496.8141025641028,53.65384615384615,67.71927655677655,15.007326007326007,6.656593406593407,8.0,50.0,16.0,0.0,71.66348586855815,84.03382124737408,75.37458648220293,15.966178752625932,,,北方大陆四季型
北京,2024,春季,39.9042,116.4074,92,15.25,22.069565217391304,8.443478260869565,13.626086956521736,12.169565217391304,-3.0804347826086955,44.76086956521739,90.8,0.9869565217391304,27,0,21.453260869565216,36.80217391304348,13,14,9.289125664251207,71,8,17.07641304347826,10,0,14,1,57.29071557971015,89.47590579710145,663.6304347826087,47.84338768115941,35.90240036231884,44.77989130434783,16.388134057971012,18.0,19.0,48.0,2.0,71.0724249604887,87.83978691326315,76.10263354632103,12.16021308673685,,,北方大陆四季型
北京,2024,夏季,39.9042,116.4074,92,26.93152173913043,32.12391304347826,21.996739130434783,10.127173913043478,29.442391304347822,2.510869565217391,66.65217391304348,539.3,5.86195652173913,51,6,17.23804347826087,30.78478260869565,2,3,9.4827086352657,75,7,18.240652173913045,70,23,0,0,67.34633152173913,99.03953804347827,687.2427536231884,62.77042572463768,36.54778079710145,72.06929347826087,6.096467391304348,11.0,33.0,14.0,11.0,75.28797189611632,84.64102117797077,78.09388668067265,15.358978822029226,46.76821910461935,,北方大陆四季型
北京,2024,冬季,39.9042,116.4074,91,-1.078021978021978,3.68021978021978,-4.713186813186813,8.393406593406594,-5.824175824175824,-4.746153846153846,39.84615384615385,6.2,0.0681318681318681,4,0,15.191208791208792,28.5021978021978,2,3,7.729435195360196,65,7,8.63989010989011,0,0,87,47,112.75755494505496,147.5621336996337,1976.084249084249,49.41918498168498,102.30892857142857,16.376373626373628,3.896062271062271,7.0,65.0,9.0,0.0,50.93364060827322,80.6898695529744,59.86050929168358,19.310130447025596,,59.74155763245811,北方大陆四季型
北京,2025,秋季,39.9042,116.4074,91,14.274725274725276,18.686813186813183,10.134065934065935,8.552747252747253,13.021978021978022,-1.2527472527472527,60.747252747252745,117.1,1.286813186813187,24,1,11.32197802197802,27.673626373626377,0,5,7.577136477411478,60,10,10.88175824175824,9,0,7,0,94.10865384615386,105.57880036630036,1603.9583333333337,63.91904761904762,69.02408424908425,18.10851648351648,19.371336996337,3.0,61.0,44.0,0.0,71.63484189971022,83.09392802181826,75.07256773634262,16.906071978181735,,,北方大陆四季型
北京,2025,春季,39.9042,116.4074,92,16.148913043478263,21.871739130434783,10.217391304347826,11.654347826086957,13.166304347826086,-2.9826086956521736,36.65217391304348,101.1,1.098913043478261,22,1,16.597826086956523,41.17826086956522,2,21,9.461067934782609,73,5,17.46913043478261,9,0,4,1,60.765443840579714,88.6351902173913,737.9311594202899,50.04248188405796,36.57667572463768,54.31476449275362,49.85461956521739,20.0,19.0,71.0,4.0,71.16543630811002,86.79225567330765,75.85348211766929,13.207744326692362,,,北方大陆四季型
北京,2025,夏季,39.9042,116.4074,92,27.48478260869565,31.97608695652174,23.321739130434786,8.654347826086957,30.56847826086957,3.0836956521739123,66.06521739130434,487.6,5.3,58,6,11.161956521739132,29.767391304347825,0,4,8.72395467995169,54,9,17.65869565217391,66,18,0,0,65.55715579710144,72.06336050724637,888.8564311594204,67.86354166666666,41.99356884057971,70.00090579710145,11.92210144927536,9.0,33.0,26.0,15.0,74.28316338673993,84.69866769889293,77.40781468038581,15.30133230110707,45.2942124520731,,北方大陆四季型
北京,2025,冬季,39.9042,116.4074,90,-0.6055555555555555,3.5877777777777777,-4.617777777777778,8.205555555555556,-5.247777777777778,-4.642222222222222,33.355555555555554,5.2,0.0577777777777777,7,0,12.523333333333332,29.21333333333333,0,6,8.335336111111111,72,4,9.283777777777775,0,0,87,35,113.99402777777776,120.46481481481482,2352.6129629629627,48.79592592592592,98.26138888888887,21.012962962962963,9.283796296296297,8.0,58.0,22.0,0.0,49.66777964944624,80.40987920824588,58.89040951708613,19.59012079175412,,60.17640745493404,北方大陆四季型
南京,2016,秋季,32.0603,118.7969,91,17.712087912087913,21.37912087912088,14.473626373626372,6.905494505494505,17.72197802197802,0.0098901098901099,79.17582417582418,520.9,5.724175824175824,46,7,15.237362637362637,30.912087912087912,0,3,5.452088614163614,36,37,9.627362637362635,9,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,73.9602636089583,,,,,,湿润宜居综合型
南京,2016,春季,32.0603,118.7969,92,15.869565217391305,20.70217391304348,11.521739130434783,9.180434782608696,15.007608695652175,-0.8619565217391304,74.68478260869566,424.3,4.61195652173913,44,4,16.15,33.540217391304346,2,7,7.320555253623189,51,21,15.67782608695652,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,74.09196860376714,,,,,,湿润宜居综合型
南京,2016,夏季,32.0603,118.7969,92,26.92717391304348,30.742391304347827,23.589130434782607,7.153260869565218,31.34130434782609,4.414130434782608,80.45652173913044,872.7,9.485869565217392,51,12,13.893478260869566,30.85652173913044,0,4,8.79948925120773,60,12,17.361847826086954,57,10,0,0,,,,,,,,0.0,0.0,0.0,0.0,71.51312434494116,,,,43.19015816241404,,湿润宜居综合型
南京,2016,冬季,32.0603,118.7969,91,5.246153846153846,10.17802197802198,0.8901098901098901,9.287912087912089,1.812087912087912,-3.434065934065934,71.32967032967034,162.8,1.789010989010989,31,0,14.928571428571429,30.36263736263736,0,3,7.303412912087912,56,17,10.760769230769233,0,0,41,5,,,,,,,,0.0,0.0,0.0,0.0,55.59730613335501,,,,,67.41513188626813,湿润宜居综合型
南京,2017,秋季,32.0603,118.7969,91,16.962637362637363,20.605494505494505,13.75824175824176,6.847252747252748,16.802197802197803,-0.1604395604395607,77.81318681318682,276.7,3.0406593406593405,37,1,15.418681318681315,30.24615384615385,1,2,6.017222008547009,42,28,10.31131868131868,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,74.05006592901933,,,,,,湿润宜居综合型
南京,2017,春季,32.0603,118.7969,92,16.35,21.22826086956522,11.754347826086958,9.47391304347826,15.193478260869565,-1.1565217391304348,67.73913043478261,176.9,1.922826086956522,41,1,17.105434782608697,33.15652173913043,1,4,8.45966268115942,58,18,18.078369565217397,6,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,75.08284951060679,,,,,,湿润宜居综合型
南京,2017,夏季,32.0603,118.7969,92,27.22391304347826,30.733695652173918,24.13586956521739,6.5978260869565215,31.46630434782609,4.2423913043478265,78.57608695652173,608.9,6.618478260869565,59,7,16.120652173913044,33.19673913043478,2,5,8.812668900966184,57,14,17.662065217391305,53,10,0,0,,,,,,,,0.0,0.0,0.0,0.0,71.59407045949811,,,,43.57131970445753,,湿润宜居综合型
南京,2017,冬季,32.0603,118.7969,90,5.212222222222223,9.994444444444444,0.948888888888889,9.045555555555556,1.6544444444444446,-3.557777777777777,69.32222222222222,99.5,1.1055555555555556,23,0,15.188888888888888,29.61333333333333,2,3,7.444005648148148,60,18,10.619111111111112,0,0,34,1,,,,,,,,0.0,0.0,0.0,0.0,55.450801323169,,,,,69.37920002050592,湿润宜居综合型
南京,2018,秋季,32.0603,118.7969,91,17.56153846153846,21.798901098901094,13.958241758241758,7.84065934065934,17.394505494505495,-0.167032967032967,74.71428571428571,153.29999999999998,1.6846153846153844,38,0,14.562637362637362,28.541758241758245,0,1,7.59491623931624,53,16,12.483956043956043,5,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,75.80950227009389,,,,,,湿润宜居综合型
南京,2018,春季,32.0603,118.7969,92,16.741304347826087,21.588043478260868,12.256521739130434,9.331521739130435,16.127173913043478,-0.6141304347826088,74.75,343.5,3.733695652173913,51,2,17.127173913043478,34.26413043478261,2,7,7.410803894927536,53,20,15.112173913043478,3,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,74.05113200487685,,,,,,湿润宜居综合型
南京,2018,夏季,32.0603,118.7969,92,27.367391304347827,30.98804347826087,24.194565217391304,6.793478260869565,31.65108695652174,4.283695652173913,79.33695652173913,423.9,4.607608695652174,64,4,16.494565217391305,32.827173913043474,4,7,9.51253179347826,67,11,18.69836956521739,61,1,0,0,,,,,,,,0.0,0.0,0.0,0.0,71.44526091942733,,,,42.752380717066096,,湿润宜居综合型
南京,2018,冬季,32.0603,118.7969,90,3.091111111111111,7.178888888888889,-0.6577777777777778,7.836666666666666,-0.6088888888888888,-3.7,75.4,213.1,2.367777777777777,42,1,16.086666666666666,30.23555555555556,0,0,5.405825524691358,38,34,8.632444444444443,0,0,42,19,,,,,,,,0.0,0.0,0.0,0.0,52.40632487874353,,,,,61.89517008031498,湿润宜居综合型
南京,2019,秋季,32.0603,118.7969,91,18.11758241758242,22.67472527472528,14.118681318681318,8.556043956043956,17.807692307692307,-0.3098901098901099,70.4065934065934,99.9,1.097802197802198,30,0,14.87142857142857,29.296703296703296,1,5,7.815055006105006,54,8,12.711758241758242,3,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,78.31254698238213,,,,,,湿润宜居综合型
