time,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,city,lat,lon,year,month,day,season
2023-05-25,23.6,58.81666666666666,178.75,12.233333333333334,9.175,79.58333333333333,73.5,乌鲁木齐,43.8256,87.6168,2023,5,25,spring
2023-05-26,20.120833333333334,47.19583333333333,164.375,7.783333333333334,6.7375,89.91666666666667,53.708333333333336,乌鲁木齐,43.8256,87.6168,2023,5,26,spring
2023-05-27,16.020833333333332,39.4125,163.95833333333334,7.470833333333334,6.391666666666667,88.875,47.958333333333336,乌鲁木齐,43.8256,87.6168,2023,5,27,spring
2023-05-28,26.35,59.958333333333336,181.33333333333331,12.929166666666667,9.55,84.83333333333333,59.5,乌鲁木齐,43.8256,87.6168,2023,5,28,spring
2023-05-29,23.45,66.95,159.08333333333334,5.741666666666667,3.9,85.54166666666667,94.33333333333331,乌鲁木齐,43.8256,87.6168,2023,5,29,spring
2023-05-30,15.029166666666669,34.18333333333333,156.95833333333334,7.725,6.3,85.54166666666667,35.541666666666664,乌鲁木齐,43.8256,87.6168,2023,5,30,spring
2023-05-31,23.9375,47.1875,172.0,11.595833333333331,8.266666666666667,80.875,37.083333333333336,乌鲁木齐,43.8256,87.6168,2023,5,31,spring
2023-06-01,20.0,40.0875,181.41666666666663,11.35,7.808333333333334,83.04166666666667,34.583333333333336,乌鲁木齐,43.8256,87.6168,2023,6,1,summer
2023-06-02,19.541666666666668,40.67083333333333,179.125,13.3875,8.520833333333334,84.29166666666667,37.29166666666666,乌鲁木齐,43.8256,87.6168,2023,6,2,summer
2023-06-03,14.454166666666666,25.754166666666663,184.375,17.075,8.033333333333333,77.45833333333333,16.208333333333332,乌鲁木齐,43.8256,87.6168,2023,6,3,summer
2023-06-04,16.325,26.7,231.33333333333331,27.22083333333333,7.975,72.16666666666667,12.75,乌鲁木齐,43.8256,87.6168,2023,6,4,summer
2023-06-05,17.845833333333335,31.004166666666663,172.54166666666666,11.129166666666668,9.416666666666666,91.54166666666669,19.33333333333333,乌鲁木齐,43.8256,87.6168,2023,6,5,summer
2023-06-06,19.2,31.8375,187.29166666666663,11.020833333333334,9.595833333333331,91.58333333333331,16.791666666666668,乌鲁木齐,43.8256,87.6168,2023,6,6,summer
2023-06-07,18.0875,35.791666666666664,187.41666666666663,10.670833333333334,9.058333333333334,101.125,34.333333333333336,乌鲁木齐,43.8256,87.6168,2023,6,7,summer
2023-06-08,22.129166666666663,63.5625,183.29166666666663,13.116666666666667,8.454166666666667,101.45833333333331,101.04166666666669,乌鲁木齐,43.8256,87.6168,2023,6,8,summer
2023-06-09,24.579166666666666,53.29583333333333,225.625,33.354166666666664,10.541666666666666,88.375,57.333333333333336,乌鲁木齐,43.8256,87.6168,2023,6,9,summer
2023-06-10,16.691666666666666,29.504166666666663,216.5,29.191666666666663,8.216666666666667,85.79166666666667,20.20833333333333,乌鲁木齐,43.8256,87.6168,2023,6,10,summer
2023-06-11,18.3875,43.925,214.20833333333331,31.2375,8.858333333333333,88.70833333333333,54.875,乌鲁木齐,43.8256,87.6168,2023,6,11,summer
2023-06-12,28.254166666666663,120.64166666666668,169.83333333333334,15.095833333333331,5.383333333333333,95.875,236.375,乌鲁木齐,43.8256,87.6168,2023,6,12,summer
2023-06-13,26.79583333333333,56.04583333333333,201.45833333333331,24.1,9.1125,86.375,55.66666666666666,乌鲁木齐,43.8256,87.6168,2023,6,13,summer
